file,subset,frame_tp,frame_fp,frame_fn,note_tp,note_fp,note_fn,frameF0_tp,frameF0_fp,frameF0_fn,noteF0_tp,noteF0_fp,noteF0_fn,frame_tdr_num,frame_tdr_den,note_tdr_num,note_tdr_den
03_Rock1-130-A_solo_02.npz,solo,231,42,42,50,8,8,260,11,13,56,1,2,231.0,260.0,50.0,56.0
01_Jazz1-200-B_comp_01.npz,comp,172,217,272,58,73,83,341,47,103,110,20,31,172.0,341.0,58.0,110.0
01_Funk2-119-G_comp_02.npz,comp,323,76,88,75,20,18,337,62,74,77,18,16,323.0,337.0,75.0,77.0
05_SS1-100-C#_comp_02.npz,comp,1074,271,111,170,41,15,1133,204,52,175,34,10,1074.0,1133.0,170.0,175.0
01_Rock1-130-A_solo_01.npz,solo,240,42,62,51,8,10,250,32,52,53,6,8,240.0,250.0,51.0,53.0
03_Rock3-117-Bb_solo_00.npz,solo,278,19,11,54,3,3,278,19,11,54,3,3,278.0,278.0,54.0,54.0
02_BN1-129-Eb_solo_02.npz,solo,217,40,30,49,10,5,226,29,21,51,8,3,217.0,226.0,49.0,51.0
02_BN3-154-E_comp_02.npz,comp,662,132,146,168,29,30,662,132,146,168,29,30,662.0,662.0,168.0,168.0
04_BN3-154-E_solo_03.npz,solo,164,38,15,42,11,2,164,33,15,42,11,2,164.0,164.0,42.0,42.0
05_SS1-68-E_solo_02.npz,solo,336,73,75,35,9,8,356,53,50,37,7,5,336.0,356.0,35.0,37.0
04_Rock1-130-A_comp_01.npz,comp,227,266,439,45,51,100,430,48,236,87,8,58,227.0,430.0,45.0,87.0
03_BN1-129-Eb_comp_00.npz,comp,686,67,14,141,12,2,686,67,14,141,12,2,686.0,686.0,141.0,141.0
00_BN1-129-Eb_solo_00.npz,solo,440,39,168,95,6,30,442,37,150,95,6,27,440.0,442.0,95.0,95.0
03_Jazz1-130-D_solo_01.npz,solo,184,69,45,35,16,9,219,34,10,42,9,2,184.0,219.0,35.0,42.0
05_BN3-154-E_comp_03.npz,comp,490,96,144,121,26,36,548,35,86,134,13,23,490.0,548.0,121.0,134.0
