file,subset,frame_tp,frame_fp,frame_fn,note_tp,note_fp,note_fn,frameF0_tp,frameF0_fp,frameF0_fn,noteF0_tp,noteF0_fp,noteF0_fn,frame_tdr_num,frame_tdr_den,note_tdr_num,note_tdr_den
05_SS1-68-E_comp_02.npz,comp,1420,170,23,150,24,4,1420,170,23,150,24,4,1420.0,1420.0,150.0,150.0
01_BN1-129-Eb_comp_01.npz,comp,666,131,7,134,34,3,666,131,7,134,34,3,666.0,666.0,134.0,134.0
04_Rock1-130-A_solo_02.npz,solo,255,70,35,58,14,5,255,65,35,58,13,5,255.0,255.0,58.0,58.0
00_BN1-129-Eb_comp_00.npz,comp,945,54,34,194,8,12,945,54,34,194,8,12,945.0,945.0,194.0,194.0
05_BN3-154-E_solo_00.npz,solo,164,4,5,41,0,2,164,4,5,41,0,2,164.0,164.0,41.0,41.0
03_Rock3-117-Bb_comp_03.npz,comp,694,60,111,139,12,22,694,60,111,139,12,22,694.0,694.0,139.0,139.0
03_Rock1-130-A_solo_01.npz,solo,237,16,10,53,3,1,237,16,10,53,3,1,237.0,237.0,53.0,53.0
02_BN3-154-E_solo_02.npz,solo,223,61,4,52,21,6,223,61,4,52,21,6,223.0,223.0,52.0,52.0
03_BN2-166-Ab_comp_02.npz,comp,442,37,21,111,27,12,442,37,21,111,27,12,442.0,442.0,111.0,111.0
03_BN2-166-Ab_solo_03.npz,solo,178,26,23,50,7,4,181,23,15,51,6,2,178.0,181.0,50.0,51.0
04_Funk3-98-A_comp_03.npz,comp,793,124,91,122,22,11,793,124,91,122,22,11,793.0,793.0,122.0,122.0
02_BN1-129-Eb_solo_01.npz,solo,296,20,20,61,6,4,296,20,20,61,6,4,296.0,296.0,61.0,61.0
03_BN2-166-Ab_solo_00.npz,solo,146,7,4,39,3,0,146,7,4,39,3,0,146.0,146.0,39.0,39.0
01_BN1-129-Eb_comp_00.npz,comp,450,131,6,91,28,1,450,131,6,91,28,1,450.0,450.0,91.0,91.0
04_Rock1-130-A_solo_00.npz,solo,153,26,39,31,5,6,133,24,38,27,5,6,153.0,133.0,31.0,27.0
00_Rock1-130-A_comp_02.npz,comp,1345,180,187,278,28,42,1345,180,187,278,28,42,1345.0,1345.0,278.0,278.0
01_Rock1-130-A_solo_00.npz,solo,182,52,6,39,10,0,182,52,6,39,10,0,182.0,182.0,39.0,39.0
04_BN3-154-E_comp_01.npz,comp,124,337,357,32,82,86,124,337,357,32,82,86,124.0,124.0,32.0,32.0
01_Funk2-119-G_comp_00.npz,comp,330,98,65,66,13,18,330,98,65,66,13,18,330.0,330.0,66.0,66.0
03_Rock1-130-A_comp_00.npz,comp,473,216,137,98,47,28,473,216,137,98,47,28,473.0,473.0,98.0,98.0
05_BN1-129-Eb_comp_01.npz,comp,703,41,31,134,22,7,703,41,31,134,22,7,703.0,703.0,134.0,134.0
00_Rock1-130-A_comp_01.npz,comp,1162,168,143,235,34,35,1162,168,143,235,34,35,1162.0,1162.0,235.0,235.0
04_BN3-154-E_comp_00.npz,comp,321,280,219,88,64,51,328,273,212,90,62,49,321.0,328.0,88.0,90.0
05_BN3-154-E_solo_01.npz,solo,182,15,7,44,7,1,182,15,7,44,7,1,182.0,182.0,44.0,44.0
01_BN3-119-G_solo_02.npz,solo,241,35,18,47,6,1,241,35,18,47,6,1,241.0,241.0,47.0,47.0
04_Funk3-98-A_comp_01.npz,comp,750,81,75,109,6,13,750,81,75,109,6,13,750.0,750.0,109.0,109.0
03_Funk1-114-Ab_solo_01.npz,solo,207,36,3,38,8,2,207,36,3,38,8,2,207.0,207.0,38.0,38.0
00_Rock1-130-A_comp_00.npz,comp,1374,159,48,274,36,14,1374,159,48,274,36,14,1374.0,1374.0,274.0,274.0
03_Funk1-114-Ab_comp_00.npz,comp,553,53,105,85,14,42,553,53,105,85,14,42,553.0,553.0,85.0,85.0
05_Funk1-114-Ab_comp_02.npz,comp,570,103,77,105,22,16,570,103,77,105,22,16,570.0,570.0,105.0,105.0
04_BN3-154-E_solo_00.npz,solo,189,24,25,47,6,9,189,24,9,47,6,5,189.0,189.0,47.0,47.0
02_BN3-154-E_comp_01.npz,comp,743,118,30,185,31,4,743,118,30,185,31,4,743.0,743.0,185.0,185.0
00_Funk1-114-Ab_solo_00.npz,solo,355,30,25,65,5,3,355,26,25,65,5,3,355.0,355.0,65.0,65.0
03_Funk2-108-Eb_solo_03.npz,solo,245,29,28,45,5,5,245,29,28,45,5,5,245.0,245.0,45.0,45.0
03_Jazz1-130-D_solo_02.npz,solo,250,21,9,46,8,5,250,21,9,46,8,5,250.0,250.0,46.0,46.0
02_BN1-129-Eb_comp_01.npz,comp,667,49,61,138,17,9,668,48,60,138,17,9,667.0,668.0,138.0,138.0
04_Funk3-98-A_solo_03.npz,solo,320,35,24,48,10,3,320,35,24,48,10,3,320.0,320.0,48.0,48.0
03_Rock1-130-A_solo_02.npz,solo,264,7,9,57,1,1,264,7,9,57,1,1,264.0,264.0,57.0,57.0
01_Jazz1-200-B_comp_01.npz,comp,402,47,42,134,14,7,402,47,42,134,14,7,402.0,402.0,134.0,134.0
01_Funk2-119-G_comp_02.npz,comp,363,62,48,81,18,12,363,62,48,81,18,12,363.0,363.0,81.0,81.0
05_SS1-100-C#_comp_02.npz,comp,1168,103,17,182,24,3,1168,103,17,182,24,3,1168.0,1168.0,182.0,182.0
01_Rock1-130-A_solo_01.npz,solo,264,35,38,54,4,7,264,35,38,54,4,7,264.0,264.0,54.0,54.0
03_Rock3-117-Bb_solo_00.npz,solo,285,24,4,56,4,1,285,24,4,56,4,1,285.0,285.0,56.0,56.0
02_BN1-129-Eb_solo_02.npz,solo,229,49,18,51,11,3,229,49,18,51,11,3,229.0,229.0,51.0,51.0
02_BN3-154-E_comp_02.npz,comp,739,93,69,183,22,15,739,93,69,183,22,15,739.0,739.0,183.0,183.0
04_BN3-154-E_solo_03.npz,solo,175,34,4,43,12,1,175,34,4,43,12,1,175.0,175.0,43.0,43.0
05_SS1-68-E_solo_02.npz,solo,381,62,30,39,8,4,383,60,23,39,8,3,381.0,383.0,39.0,39.0
04_Rock1-130-A_comp_01.npz,comp,461,48,205,87,13,58,463,46,203,87,13,58,461.0,463.0,87.0,87.0
03_BN1-129-Eb_comp_00.npz,comp,686,45,14,142,5,1,686,45,14,142,5,1,686.0,686.0,142.0,142.0
00_BN1-129-Eb_solo_00.npz,solo,536,33,72,112,9,13,523,33,69,109,8,13,536.0,523.0,112.0,109.0
03_Jazz1-130-D_solo_01.npz,solo,218,28,11,42,10,2,218,28,11,42,10,2,218.0,218.0,42.0,42.0
05_BN3-154-E_comp_03.npz,comp,609,40,25,146,16,11,609,40,25,146,16,11,609.0,609.0,146.0,146.0
00_BN1-129-Eb_solo_01.npz,solo,329,54,108,72,16,20,329,54,108,72,16,20,329.0,329.0,72.0,72.0
01_BN3-119-G_solo_00.npz,solo,284,17,19,56,3,4,284,17,19,56,3,4,284.0,284.0,56.0,56.0
05_BN1-129-Eb_solo_01.npz,solo,215,1,4,44,2,1,215,1,4,44,2,1,215.0,215.0,44.0,44.0
01_BN3-119-G_solo_01.npz,solo,314,7,7,62,3,0,314,7,7,62,3,0,314.0,314.0,62.0,62.0
00_BN1-129-Eb_comp_02.npz,comp,605,78,48,125,18,11,605,78,48,125,18,11,605.0,605.0,125.0,125.0
02_BN3-154-E_solo_00.npz,solo,189,40,4,49,10,1,189,40,4,49,10,1,189.0,189.0,49.0,49.0
00_Rock1-130-A_solo_00.npz,solo,186,56,101,40,8,21,186,56,101,40,8,21,186.0,186.0,40.0,40.0
00_Jazz2-110-Bb_comp_01.npz,comp,1002,141,39,171,23,11,1002,141,39,171,23,11,1002.0,1002.0,171.0,171.0
01_BN3-154-E_solo_03.npz,solo,290,8,17,71,7,4,290,8,17,71,7,4,290.0,290.0,71.0,71.0
04_BN3-154-E_comp_03.npz,comp,118,333,271,30,89,61,118,333,271,30,89,61,118.0,118.0,30.0,30.0
03_Jazz3-137-Eb_comp_01.npz,comp,370,16,67,77,0,13,370,16,67,77,0,13,370.0,370.0,77.0,77.0
00_Rock1-130-A_solo_02.npz,solo,300,21,28,62,6,6,300,21,28,62,6,6,300.0,300.0,62.0,62.0
