file,subset,frame_p,frame_r,frame_f1,note_p,note_r,note_f1,frame_F0_p,frame_F0_r,frame_F0_f1,note_F0_p,note_F0_r,note_F0_f1,frame_tdr,note_tdr,frame_tp,frame_fp,frame_fn,note_tp,note_fp,note_fn,frameF0_tp,frameF0_fp,frameF0_fn,noteF0_tp,noteF0_fp,noteF0_fn
01_BN3-154-E_comp_01.npz,comp,0.8864142538975501,0.687392055267703,0.77431906614786,0.860655737704918,0.7664233576642335,0.8108108108108109,0.8864142538975501,0.687392055267703,0.77431906614786,0.860655737704918,0.7664233576642335,0.8108108108108109,1.0,1.0,398,51,181,105,17,32,398,51,181,105,17,32
04_SS1-68-E_solo_01.npz,solo,0.7722007722007722,0.8421052631578947,0.8056394763343404,0.7931034482758621,0.9019607843137255,0.8440366972477065,0.7906976744186046,0.912751677852349,0.8473520249221184,0.8275862068965517,0.9795918367346939,0.897196261682243,0.9803921568627451,0.9583333333333334,400,118,75,46,12,5,408,108,39,48,10,1
03_Jazz3-137-Eb_solo_00.npz,solo,0.9049586776859504,0.876,0.8902439024390244,0.8545454545454545,0.9038461538461539,0.8785046728971962,0.9256198347107438,0.896,0.9105691056910569,0.8545454545454545,0.9038461538461539,0.8785046728971962,0.9776785714285714,1.0,219,23,31,47,8,5,224,18,26,47,8,5
01_Rock1-130-A_solo_02.npz,solo,0.7530364372469636,0.6763636363636364,0.7126436781609196,0.7419354838709677,0.7796610169491526,0.7603305785123967,0.854251012145749,0.7873134328358209,0.8194174757281554,0.8225806451612904,0.8793103448275862,0.85,0.8815165876777251,0.9019607843137255,186,61,89,46,16,13,211,36,57,51,11,7
03_Jazz3-137-Eb_comp_03.npz,comp,0.5185185185185185,0.4666666666666667,0.49122807017543857,0.5294117647058824,0.46153846153846156,0.4931506849315068,0.7816764132553606,0.7035087719298245,0.7405355493998154,0.7843137254901961,0.6837606837606838,0.730593607305936,0.6633416458852868,0.675,266,247,304,54,48,63,401,112,169,80,22,37
01_BN3-119-G_comp_00.npz,comp,0.9034090909090909,0.7607655502392344,0.825974025974026,0.8421052631578947,0.7804878048780488,0.810126582278481,0.9034090909090909,0.7607655502392344,0.825974025974026,0.8421052631578947,0.7804878048780488,0.810126582278481,1.0,1.0,318,34,100,64,12,18,318,34,100,64,12,18
01_BN1-129-Eb_solo_00.npz,solo,0.9568627450980393,0.9420849420849421,0.9494163424124513,0.9818181818181818,0.9818181818181818,0.9818181818181818,0.9568627450980393,0.9420849420849421,0.9494163424124513,0.9818181818181818,0.9818181818181818,0.9818181818181818,1.0,1.0,244,11,15,54,1,1,244,11,15,54,1,1
01_Jazz3-150-C_solo_01.npz,solo,0.8787878787878788,0.8982300884955752,0.888402625820569,0.9122807017543859,0.9285714285714286,0.9203539823008849,0.8787878787878788,0.8982300884955752,0.888402625820569,0.9122807017543859,0.9285714285714286,0.9203539823008849,1.0,1.0,203,28,23,52,5,4,203,28,23,52,5,4
05_SS1-68-E_solo_01.npz,solo,0.75,0.8571428571428571,0.8,0.7567567567567568,0.8,0.7777777777777778,0.7564469914040115,0.8571428571428571,0.8036529680365296,0.7567567567567568,0.8,0.7777777777777778,1.0,1.0,264,88,44,28,9,7,264,85,44,28,9,7
04_Funk3-98-A_comp_02.npz,comp,0.6231454005934718,0.2527075812274368,0.3595890410958904,0.6153846153846154,0.3076923076923077,0.41025641025641024,0.7774390243902439,0.30685920577617326,0.4400345125107852,0.7692307692307693,0.38461538461538464,0.5128205128205128,0.8235294117647058,0.8,210,127,621,40,25,90,255,73,576,50,15,80
03_Rock3-117-Bb_solo_03.npz,solo,0.9007832898172323,0.8756345177664975,0.888030888030888,0.8947368421052632,0.918918918918919,0.9066666666666666,0.9007832898172323,0.8756345177664975,0.888030888030888,0.8947368421052632,0.918918918918919,0.9066666666666666,1.0,1.0,345,38,49,68,8,6,345,38,49,68,8,6
05_BN1-129-Eb_comp_02.npz,comp,0.6929824561403509,0.5224867724867724,0.5957767722473605,0.6209677419354839,0.5133333333333333,0.5620437956204379,0.8106194690265487,0.6058201058201058,0.6934140802422407,0.75,0.62,0.6788321167883211,0.8624454148471615,0.8279569892473119,395,175,361,77,47,73,458,107,298,93,31,57
04_BN3-154-E_solo_02.npz,solo,0.6455696202531646,0.7427184466019418,0.690744920993228,0.6101694915254238,0.7058823529411765,0.6545454545454545,0.841025641025641,0.8541666666666666,0.8475452196382429,0.8163265306122449,0.8333333333333334,0.8247422680412371,0.9329268292682927,0.9,153,84,53,36,23,15,164,31,28,40,9,8
05_Funk1-114-Ab_comp_00.npz,comp,0.484,0.26535087719298245,0.34277620396600567,0.5416666666666666,0.33766233766233766,0.416,0.696969696969697,0.3530701754385965,0.46870451237263466,0.6956521739130435,0.4155844155844156,0.5203252032520326,0.7515527950310559,0.8125,121,129,335,26,22,51,161,70,295,32,14,45
04_SS1-68-E_comp_01.npz,comp,0.22545454545454546,0.15090403337969402,0.1807956675692564,0.21226415094339623,0.1461038961038961,0.17307692307692307,0.8046340179041601,0.5312934631432545,0.64,0.8173076923076923,0.551948051948052,0.6589147286821705,0.28403141361256545,0.2647058823529412,434,1491,2442,45,167,263,1528,371,1348,170,38,138
04_Funk3-98-A_solo_00.npz,solo,0.933993399339934,0.9625850340136054,0.948073701842546,0.84,0.9545454545454546,0.8936170212765957,0.933993399339934,0.9625850340136054,0.948073701842546,0.84,0.9545454545454546,0.8936170212765957,1.0,1.0,283,20,11,42,8,2,283,20,11,42,8,2
